CIPDESC,pell_gap,gender_gap,count
Accounting and Related Services.,8684.614243323442,3667.2166172106827,337
Agricultural Business and Management.,5889.32,10087.04,25
"Allied Health Diagnostic, Intervention, and Treatment Professions.",2932.133333333333,9504.0,30
Animal Sciences.,7265.571428571428,7382.9047619047615,21
Anthropology.,1464.0714285714287,-91.07142857142857,14
Architecture.,1110.888888888889,1376.0277777777778,36
"Biochemistry, Biophysics and Molecular Biology.",4611.789473684211,-192.94736842105263,19
"Biology, General.",4944.471428571429,2367.864285714286,280
Biomedical/Medical Engineering.,2708.3,-436.9,30
"Business Administration, Management and Operations.",10408.401188707281,9457.323922734027,673
"Business, Management, Marketing, and Related Support Services, Other.",6308.166666666667,2118.9166666666665,12
"Business/Commerce, General.",13859.860465116279,10520.488372093023,129
Business/Managerial Economics.,7477.083333333333,6941.25,12
Cell/Cellular Biology and Anatomical Sciences.,-4043.6875,-4310.8125,16
Chemical Engineering.,2602.3653846153848,118.3076923076923,52
Chemistry.,1682.15,2347.25,20
Civil Engineering.,2401.586956521739,-1188.391304347826,46
Communication and Media Studies.,5317.6894197952215,556.0580204778157,293
Computer Science.,20168.727272727272,-3419.7272727272725,22
Computer Software and Media Applications.,12314.384615384615,5474.692307692308,26
Computer Systems Analysis.,20050.136363636364,10115.0,22
Computer Systems Networking and Telecommunications.,10603.0,7319.368421052632,19
"Computer and Information Sciences, General.",8863.25641025641,6917.115384615385,78
Computer/Information Technology Administration and Management.,18910.533333333333,15133.133333333333,15
Criminal Justice and Corrections.,9984.87908496732,13508.339869281046,306
Criminology.,4207.386363636364,9032.454545454546,44
Design and Applied Arts.,5364.735632183908,2075.712643678161,87
Drama/Theatre Arts and Stagecraft.,2993.4615384615386,186.53846153846155,26
Economics.,6095.9708737864075,3663.2912621359224,103
Electrical Engineering Technologies/Technicians.,18524.35714285714,13658.642857142857,14
"Electrical, Electronics and Communications Engineering.",6793.7692307692305,-3529.0,13
"English Language and Literature, General.",4704.124087591241,-2783.4087591240877,137
Entrepreneurial and Small Business Operations.,12527.727272727272,7884.454545454545,11
Film/Video and Photographic Arts.,4491.659574468085,-2744.7659574468084,47
Finance and Financial Management Services.,8542.1625,5544.9125,160
Fine and Studio Arts.,4420.26213592233,2998.3009708737864,103
"Foods, Nutrition, and Related Services.",4510.666666666667,4056.3333333333335,18
"General Sales, Merchandising and Related Marketing Operations.",-1903.1818181818182,10291.818181818182,11
"Health Professions and Related Clinical Sciences, Other.",3700.3529411764707,4235.058823529412,17
"Health Services/Allied Health/Health Sciences, General.",9410.566666666668,7369.133333333333,30
Health and Medical Administrative Services.,12978.90625,11080.890625,64
Health and Physical Education/Fitness.,4823.009433962264,3062.259433962264,212
Health/Medical Preparatory Programs.,2039.2222222222222,3122.5,18
History.,4293.6140350877195,2757.0438596491226,114
Hospitality Administration/Management.,4747.854166666667,5726.5,48
"Human Development, Family Studies, and Related Services.",5451.55,1992.55,20
Human Resources Management and Services.,13568.081632653062,7838.040816326531,49
"Human Services, General.",9051.333333333334,5259.416666666667,12
Industrial Engineering.,1722.0555555555557,-2805.0555555555557,18
Information Science/Studies.,20380.17021276596,7095.723404255319,47
International Business.,10586.636363636364,2538.181818181818,11
International Relations and National Security Studies.,4648.5,4532.807692307692,26
International/Global Studies.,9452.058823529413,3207.6470588235293,17
Journalism.,4229.0875,-2340.3875,80
"Liberal Arts and Sciences, General Studies and Humanities.",6641.976047904192,7767.856287425149,167
Management Information Systems and Services.,7216.875,1771.125,32
Management Sciences and Quantitative Methods.,4975.117647058823,5217.470588235294,34
Marketing.,6670.912,4205.716,250
Mathematics.,9628.787234042553,9254.170212765957,47
Mechanical Engineering.,1836.1967213114754,-1173.6065573770493,61
"Multi-/Interdisciplinary Studies, General.",6732.272727272727,8114.636363636364,11
"Multi/Interdisciplinary Studies, Other.",7333.666666666667,7287.333333333333,84
Music.,1020.3513513513514,-1401.162162162162,37
Natural Resources Conservation and Research.,3804.2,5817.3538461538465,65
Neurobiology and Neurosciences.,4204.75,-1367.6666666666667,12
Non-Professional General Legal Studies (Undergraduate).,8859.636363636364,3183.090909090909,11
"Parks, Recreation and Leisure Facilities Management.",5595.85,2704.1,20
"Parks, Recreation and Leisure Studies.",6197.714285714285,3100.9285714285716,14
"Pharmacy, Pharmaceutical Sciences, and Administration.",4232.0,2071.0,14
"Physiology, Pathology and Related Sciences.",3646.3809523809523,-1319.2380952380952,21
Political Science and Government.,5512.648351648351,1515.8736263736264,182
"Psychology, General.",4955.853448275862,2206.7557471264367,348
Public Health.,5494.290322580645,9070.741935483871,31
"Public Relations, Advertising, and Applied Communication.",3693.777777777778,1515.2380952380952,63
"Radio, Television, and Digital Communication.",4551.763636363637,-3231.309090909091,55
"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",844.3052959501557,13960.58878504673,321
Research and Experimental Psychology.,5400.909090909091,-4394.0,11
Rhetoric and Composition/Writing Studies.,5917.8,1166.6666666666667,30
"Romance Languages, Literatures, and Linguistics.",10195.461538461539,6253.153846153846,13
"Social Sciences, General.",7453.307692307692,9063.461538461539,13
Social Work.,2140.65,5355.4,20
Sociology.,5895.909090909091,6437.504132231405,121
"Teacher Education and Professional Development, Specific Levels and Methods.",1674.858695652174,4500.369565217391,92
"Teacher Education and Professional Development, Specific Subject Areas.",2710.7203389830506,3544.6271186440677,118
Zoology/Animal Biology.,5603.642857142857,5643.357142857143,14
